date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
2020-01-03,green,Heart and Sole Left V1/2,crimp,slab,natural,V1,,,Red Rocks,outdoors
2020-01-03,green,Arete left V1/2 on the Warm Up Boulder,jug,face,natural,V1,,,Red Rocks,outdoors
2020-01-03,orange,Welcome to Detroit,"jug, crimp",variable,mantle,V5,,,Red Rocks,outdoors
2020-01-04,orange,Right Face of the My Tan Boulder V6/7 (#292),crimp,face,natural,V7,,,Red Rocks,outdoors
2020-01-04,blue,Avian Flu,jug,cave,natural,V4,,,Red Rocks,outdoors
2020-01-19,blue,Unnamed V2 Cave,jug,cave,natural,V2,FA?,,"Lizard’s Mouth, Santa Barbara",outdoors
2020-01-19,green,Yellow Belly,crimp,face,natural,V0,,,"Lizard’s Mouth, Santa Barbara",outdoors
2020-02-01,orange,Great Stoneface,crimp,overhang,natural,V7,,,Great Stoneface Park,outdoors
2020-02-01,orange,Like Mike (Hoop Dreams Eliminate),jug,overhang,dyno,V6,Eugene Ahn,2019,Great Stoneface Park,outdoors
2020-02-09,orange,Dark Side of the Moon,"crimp, sloper",face,natural,V7,,,Castle Rock,outdoors
2020-02-09,orange,Asian Invasion,"crimp, sloper",overhang,natural,V7,,,Castle Rock,outdoors
