date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
2017-05-14,blue,The Gold Wall,sloper,overhang,natural,V3,,,Columbia College,outdoors
2017-05-14,blue,Falkenstein Crack,"jug, crimp",overhang,natural,V3,,,Columbia College,outdoors
2017-05-21,green,The Best Damn,crimp,slab,natural,V1,,,Mount Tamalpais,outdoors
2017-05-21,green,Contact High,crimp,slab,natural,V1,,,Mount Tamalpais,outdoors
2017-05-21,blue,The Old Man Card,sloper,face,mantle,V2,,,Mount Tamalpais,outdoors
2017-05-31,blue,Auto-Gedden (Jesus Chrysler Traverse),"jug, crimp",overhang,natural,V2,,,Bishop Happy Boulders,outdoors
2017-05-31,green,Monkey Hang,jug,cave,natural,V3,,,Bishop Happy Boulders,outdoors
2017-05-31,blue,Impulse Control,"crimp, sloper",overhang,natural,V4,Chris Tracy,2003,Bishop Happy Boulders,outdoors
2017-06-04,green,Diagonal Ramp on the Orange Buddha Boulder,crimp,face,natural,V1,,,Mickey’s Beach,outdoors
2017-06-04,green,Baseball on the Orange Buddha Boulder (used to be V4),crimp,face,natural,V2,,,Mickey’s Beach,outdoors
2017-06-04,green,"Don’t worry, be slappy (used to be V6)",crimp,face,natural,V1,,,Mickey’s Beach,outdoors
2017-06-04,blue,Unnamed slab,crimp,slab,natural,V2,,,Stinson Beach,outdoors
2017-06-04,green,Warm Up Arete,crimp,arete,natural,V1,,,Stinson Beach,outdoors
2017-06-04,green,Unnamed south face,crimp,overhang,natural,V1,,,Stinson Beach,outdoors
2017-06-11,green,Mr. Magoo Run and Jump,jug,face,comp,V1,,,Castle Rock,outdoors
2017-06-11,blue,Domino Theory (dyno beta),"jug, crimp",face,dyno,V2,,,Castle Rock,outdoors
2017-07-07,blue,Gypsy’s Day Out,crimp,overhang,natural,V3,,,Black Mountain,outdoors
2017-07-07,green,Little Saigon Left Arete,crimp,overhang,natural,V1,,,Black Mountain,outdoors
2017-07-07,green,Unnamed 5.9 slab,crimp,slab,natural,V0,,,Black Mountain,outdoors
2017-07-07,blue,Front Wheel Drive,crimp,slab,natural,V2,,,Black Mountain,outdoors
2017-07-07,green,Pork Rinds 5.8 (#9),"jug, pinch",face,natural,V0,,,Joshua Tree,outdoors
2017-07-08,green,Pothole Mantle #2,sloper,face,mantle,V0,,,Joshua Tree,outdoors
2017-07-08,green,Pothole Problem #2,sloper,face,mantle,V0,,,Joshua Tree,outdoors
2017-07-08,green,Pothole Mantle #1,sloper,face,mantle,V0,,,Joshua Tree,outdoors
2017-07-09,green,Main Boulder East Face,"jug, crimp",overhang,natural,V2,,,Grizzly Peak,outdoors
2017-07-16,green,Lieback,jug,overhang,natural,V2,,,Salt Point State Park,outdoors
2017-07-16,green,Unnamed V2 to the right of The Slap,sloper,overhang,natural,V2,,,Salt Point State Park,outdoors
2017-07-16,blue,The Slap,crimp,overhang,natural,V5,,,Salt Point State Park,outdoors
2017-07-16,blue,Tufatafoni Traverse,jug,cave,natural,V4,,,Salt Point State Park,outdoors
2017-07-23,blue,Quarry Traverse,jug,overhang,natural,V3,,,Salt Point State Park,outdoors
2017-07-23,green,Mantle 101,jug,overhang,mantle,V2,,,Salt Point State Park,outdoors
2017-07-23,green,I’m a Mountain Goat,crimp,slab,natural,V0,FA,2017,Salt Point State Park,outdoors
2017-08-14,blue,Triceratops,"jug, crimp",cave,natural,V4,,,Salt Point State Park,outdoors
2017-08-14,orange,Music Box By the Sea,crimp,cave,natural,V6,FA,2017,Salt Point State Park,outdoors
2017-09-03,blue,Sloper Safari,"jug, sloper",overhang,natural,V4,,,Joshua Tree,outdoors
2017-09-05,blue,Bulgemaster,sloper,overhang,natural,V2,,,Joshua Tree,outdoors
2017-09-05,blue,Little Chucky,"crimp, pinch",face,natural,V4,,,Joshua Tree,outdoors
2017-09-05,green,"Dino’s Egg, Sit Down Flake",jug,overhang,natural,V2,,,Joshua Tree,outdoors
2017-09-29,green,Watercourse,jug,face,natural,V1,,,Berkeley Indian Rock,outdoors
2017-10-01,orange,Tractor Pull,crimp,face,natural,V6,,,Grizzly Peak,outdoors
2017-10-14,blue,Tombstone,"jug, crimp",overhang,natural,V4,,,"Lincoln Woods State Park, RI",outdoors
2017-10-14,blue,Try Again,jug,face,dyno,V5,Ed Sewall,,"Lincoln Woods State Park, RI",outdoors
2017-10-16,blue,Bloody Sunset,crimp,face,natural,V3,FA?,2017,"Lynn Woods, MA",outdoors
2017-10-21,green,Sub Atomic Nuclear Penguin,crimp,face,natural,V4,,,"Central Park, NY",outdoors
2017-11-05,orange,"Monkey Bars, Right","jug, crimp",overhang,natural,V6,Danny Rider,1989,Red Rocks,outdoors
2017-11-05,orange,Umpa Lumpa,"crimp, sloper",variable,natural,V5,,,Red Rocks,outdoors
2017-11-06,blue,Brown Round Crack,crimp,face,natural,V3,,,Red Rocks,outdoors
2017-11-06,blue,Peruvian Left,crimp,slab,natural,V3,Randal Grandstafff,1970,Red Rocks,outdoors
2017-12-02,orange,Bate’s Eliminate,crimp,face,dyno,V7,Barry Bates,,Castle Rock,outdoors
2017-12-10,blue,The Swim,sloper,face,mantle,V3,,,Castle Rock,outdoors
2017-12-18,green,Slab behind Columbia Boulder,crimp,slab,natural,V0,,,Yosemite,outdoors
2017-12-18,green,Columbia Boulder Artificial Slab 5.9,crimp,slab,natural,V0,,,Yosemite,outdoors
2017-12-18,blue,Unnamed Warm-up on the Tile Boulder,crimp,face,natural,V2,,,Yosemite,outdoors
2017-12-18,blue,Zorro,"jug, crimp",face,dyno,V4,,,Yosemite,outdoors
2017-12-19,blue,Tendon’s Give,"jug, crimp",overhang,dyno,V4,,,Yosemite,outdoors
2017-12-23,blue,A Birthing Experience,crimp,overhang,comp,V1,,,Bishop Buttermilks,outdoors
2017-12-23,orange,Devoted Traverse,"jug, crimp",overhang,natural,V5,,,Bishop Buttermilks,outdoors
2017-12-26,green,Sheepherder,sloper,face,natural,V2,,,Bishop Buttermilks,outdoors
2017-12-26,blue,Birthday Direct,crimp,face,natural,V3,,,Bishop Buttermilks,outdoors
2017-12-27,blue,Heavenly Path,crimp,slab,natural,V1,,,Bishop Happy Boulders,outdoors
2017-12-27,blue,Kling and Smirk,"crimp, sloper",overhang,natural,V2,,,Bishop Happy Boulders,outdoors
2017-12-27,blue,Ketron Classic,crimp,overhang,natural,V4,Brian Ketron,,Bishop Happy Boulders,outdoors
2017-12-27,blue,Serengeti,crimp,overhang,natural,V5,Marty Lewis,,Bishop Happy Boulders,outdoors
2017-12-27,orange,"Acid Wash Right, Stand Start",crimp,overhang,natural,V7,Dustin Sabo,,Bishop Happy Boulders,outdoors
2017-12-28,green,Brown Slab,crimp,slab,natural,V0,,,Bishop Sad Boulders,outdoors
2017-12-28,green,World Shut Your Mouth,crimp,face,natural,V2,,,Bishop Sad Boulders,outdoors
2017-12-28,blue,Molly Dyno,crimp,face,dyno,V5,,,Bishop Sad Boulders,outdoors
2017-12-28,green,Hands-Free Slab,crimp,slab,natural,V0,,,Bishop Sad Boulders,outdoors
2017-12-28,green,Hands-on Slab,crimp,slab,natural,V0,,,Bishop Sad Boulders,outdoors
2017-12-29,green,The Prow,jug,face,natural,V2,,,Bishop Buttermilks,outdoors
2017-12-29,orange,Fly Boy Arete,crimp,arete,natural,V5,,,Bishop Buttermilks,outdoors
2017-12-30,orange,Solarium,crimp,face,natural,V4,Marty Lewis,,Bishop Happy Boulders,outdoors
2017-12-30,orange,The Hulk,crimp,overhang,natural,V6,Peter Croft,,Bishop Happy Boulders,outdoors
2017-12-30,orange,Sucker Punch,crimp,face,natural,V5,,,Bishop Happy Boulders,outdoors
2017-12-31,green,Gotta Be Kidding Me Slab,jug,slab,natural,V0,,,Bishop Sad Boulders,outdoors
2017-12-31,blue,Hauck a Loogie,crimp,overhang,natural,V3,,,Bishop Sad Boulders,outdoors
2017-12-31,green,Flush VB,jug,slab,natural,V0,,,Bishop Sad Boulders,outdoors
2017-12-31,orange,The Gleaner,crimp,overhang,natural,V6,Peter Croft,,Bishop Happy Boulders,outdoors
2018-01-01,green,Unnamed Sunshine Slab,crimp,slab,natural,V0,,,Bishop Buttermilks,outdoors
2018-01-01,green,Good Morning Sunshine,crimp,slab,natural,V1,,,Bishop Buttermilks,outdoors
2018-01-01,blue,Green Wall Essential,crimp,face,natural,V2,,,Bishop Buttermilks,outdoors
2018-01-01,blue,Iron Man Traverse,jug,overhang,natural,V4,Tony Pupo,,Bishop Buttermilks,outdoors
2018-01-01,blue,Robinson’s Rubber Tester,sloper,slab,natural,V0,,,Bishop Buttermilks,outdoors
2018-01-02,blue,Maximum Relaxum,jug,cave,natural,V3,,,Bishop Sad Boulders,outdoors
2018-01-03,blue,"Buttermilks Stem, Stand Start",sloper,corner,natural,V1,,,Bishop Buttermilks,outdoors
2018-01-03,blue,"Buttermilks Stem, Sit Start","jug, sloper",overhang,natural,V4,,,Bishop Buttermilks,outdoors
2018-03-12,green,Run and Jump in the Nature Nazi Area,jug,face,comp,V0,,,Castle Rock,outdoors
2018-03-12,green,"Naked Nazi, Stand Start",crimp,arete,natural,V2,,,Castle Rock,outdoors
2018-04-01,green,Totty Corridor Traverse,crimp,face,natural,V1,,,Bishop Happy Boulders,outdoors
2018-04-01,green,Strange Quotations,jug,face,natural,V0,,,Bishop Happy Boulders,outdoors
2018-04-01,blue,"Exit the Rat, Sit Start",crimp,face,natural,V2,,,Bishop Happy Boulders,outdoors
2018-04-01,green,Yo Basecamp,crimp,slab,natural,V0,,,Bishop Buttermilks,outdoors
2018-04-01,blue,"Birthday Left, Sit Start",crimp,face,natural,V1,,,Bishop Buttermilks,outdoors
2018-04-01,green,Hero Roof,jug,overhang,natural,V0,,,Bishop Buttermilks,outdoors
2018-04-02,green,"Big Brown Slab, East Center Face",crimp,face,natural,V0,,,Bishop Sad Boulders,outdoors
2018-04-16,green,Slap Happy,jug,overhang,natural,V3,Chris Tracy,2003,Bishop Happy Boulders,outdoors
2018-04-23,green,Overhanging Lieback,jug,overhang,natural,V2,,,Castle Rock,outdoors
2018-04-23,green,"The Direct, Nature Nazi Boulders",crimp,overhang,natural,V2,,,Castle Rock,outdoors
2018-04-23,blue,Domino Arete,crimp,face,natural,V3,,,Castle Rock,outdoors
2018-04-29,orange,Scary Overhang,crimp,overhang,natural,V5,,,Grizzly Peak,outdoors
2018-05-21,blue,The Ramp,crimp,overhang,natural,V4,Nat Smale?,,Berkeley Mortar Rock,outdoors
2018-05-28,orange,Boulder Basin Dyno,crimp,face,dyno,V5,,,Black Mountain,outdoors
2018-05-28,blue,The Walrus,jug,overhang,natural,V4,,,Black Mountain,outdoors
2018-05-29,green,Dragon Scales,jug,slab,natural,V0,,,Joshua Tree,outdoors
2018-06-23,blue,"Rainbow Boulder B, Resolution",jug,overhang,natural,V4,,,North Lake Tahoe,outdoors
2018-06-23,green,"Rainbow Boulder B, Unnamed Traverse",crimp,face,natural,V2,,,North Lake Tahoe,outdoors
