index,date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
200045,2017-05-14,green,The Off-Width,jug,crack,natural,V0,,,Columbia College,outdoor
200046,2017-05-14,blue,The Gold Wall,sloper,overhang,natural,V3,,,Columbia College,outdoor
200047,2017-05-14,blue,Falkenstein Crack,"crimp, jug",overhang,natural,V3,,,Columbia College,outdoor
200048,2017-05-21,green,The Best Damn,crimp,slab,natural,V1,,,Mount Tamalpais,outdoor
200049,2017-05-21,green,Contact High,crimp,slab,natural,V1,,,Mount Tamalpais,outdoor
200050,2017-05-21,blue,The Old Man Card,sloper,face,mantle,V2,,,Mount Tamalpais,outdoor
200051,2017-05-31,blue,Auto-Gedden (Jesus Chrysler Traverse),"crimp, jug",overhang,natural,V2,,,Bishop Happy Boulders,outdoor
200052,2017-05-31,green,Monkey Hang,jug,cave,natural,V3,,,Bishop Happy Boulders,outdoor
200053,2017-05-31,blue,Impulse Control,"crimp, sloper",overhang,natural,V4,Chris Tracy,2003,Bishop Happy Boulders,outdoor
200054,2017-06-04,green,Diagonal Ramp on the Orange Buddha Boulder,crimp,face,natural,V1,,,Mickey’s Beach,outdoor
200055,2017-06-04,green,Baseball on the Orange Buddha Boulder (used to be V4),crimp,face,natural,V2,,,Mickey’s Beach,outdoor
200056,2017-06-04,green,"Don’t worry, be slappy (used to be V6)",crimp,face,natural,V1,,,Mickey’s Beach,outdoor
200057,2017-06-04,blue,Unnamed slab,crimp,slab,natural,V2,,,Stinson Beach,outdoor
200058,2017-06-04,green,Warm Up Arete,crimp,arete,natural,V1,,,Stinson Beach,outdoor
200059,2017-06-04,green,Unnamed south face,crimp,overhang,natural,V1,,,Stinson Beach,outdoor
200060,2017-06-11,green,Mr. Magoo Run and Jump,jug,face,comp,V1,,,Castle Rock,outdoor
200061,2017-06-11,blue,Domino Theory (dyno beta),"crimp, jug",face,dyno,V2,,,Castle Rock,outdoor
200062,2017-07-07,blue,Gypsy’s Day Out,crimp,overhang,natural,V3,,,Black Mountain,outdoor
200063,2017-07-07,green,Little Saigon Left Arete,crimp,overhang,natural,V1,,,Black Mountain,outdoor
200064,2017-07-07,green,Unnamed 5.9 slab,crimp,slab,natural,V0,,,Black Mountain,outdoor
200065,2017-07-07,blue,Front Wheel Drive,crimp,slab,natural,V2,,,Black Mountain,outdoor
200066,2017-07-07,green,Pork Rinds 5.8 (#9),"jug, pinch",face,natural,V0,,,Joshua Tree,outdoor
200067,2017-07-08,green,Pothole Mantle #2,sloper,face,mantle,V0,,,Joshua Tree,outdoor
200068,2017-07-08,green,Pothole Problem #2,sloper,face,mantle,V0,,,Joshua Tree,outdoor
200069,2017-07-08,green,Pothole Mantle #1,sloper,face,mantle,V0,,,Joshua Tree,outdoor
200070,2017-07-09,green,Main Boulder East Face,"crimp, jug",overhang,natural,V2,,,Grizzly Peak,outdoor
200071,2017-07-16,green,Lieback,jug,overhang,natural,V2,,,Salt Point State Park,outdoor
200072,2017-07-16,green,Unnamed V2 to the right of The Slap,sloper,overhang,natural,V2,,,Salt Point State Park,outdoor
200073,2017-07-16,blue,The Slap,crimp,overhang,natural,V5,,,Salt Point State Park,outdoor
200074,2017-07-16,blue,Tufatafoni Traverse,jug,cave,natural,V4,,,Salt Point State Park,outdoor
200075,2017-07-23,blue,Quarry Traverse,jug,overhang,natural,V3,,,Salt Point State Park,outdoor
200076,2017-07-23,green,Mantle 101,jug,overhang,mantle,V2,,,Salt Point State Park,outdoor
200077,2017-07-23,green,I’m a Mountain Goat,crimp,slab,natural,V0,FA,2017,Salt Point State Park,outdoor
200078,2017-08-14,blue,Triceratops,"crimp, jug",cave,natural,V4,,,Salt Point State Park,outdoor
200079,2017-08-14,orange,Music Box By the Sea,crimp,cave,natural,V6,FA,2017,Salt Point State Park,outdoor
200080,2017-09-03,blue,Sloper Safari,"jug, sloper",overhang,natural,V4,,,Joshua Tree,outdoor
200081,2017-09-05,blue,Bulgemaster,sloper,overhang,natural,V2,,,Joshua Tree,outdoor
200082,2017-09-05,blue,Little Chucky,"crimp, pinch",face,natural,V4,,,Joshua Tree,outdoor
200083,2017-09-05,green,"Dino’s Egg, Sit Down Flake",jug,overhang,natural,V2,,,Joshua Tree,outdoor
200084,2017-09-29,green,Watercourse,jug,face,natural,V1,,,Berkeley Indian Rock,outdoor
200085,2017-10-01,orange,Tractor Pull,crimp,face,natural,V6,,,Grizzly Peak,outdoor
200086,2017-10-14,blue,Tombstone,"crimp, jug",overhang,natural,V4,,,"Lincoln Woods State Park, RI",outdoor
200087,2017-10-14,blue,Try Again,jug,face,dyno,V5,Ed Sewall,,"Lincoln Woods State Park, RI",outdoor
200088,2017-10-16,blue,Bloody Sunset,crimp,face,natural,V3,FA?,2017,"Lynn Woods, MA",outdoor
200089,2017-10-21,green,Sub Atomic Nuclear Penguin,crimp,face,natural,V4,,,"Central Park, NY",outdoor
200090,2017-11-05,orange,"Monkey Bars, Right","crimp, jug",overhang,natural,V6,Danny Rider,1989,Red Rocks,outdoor
200091,2017-11-05,orange,Umpa Lumpa,"crimp, sloper",variable,natural,V5,,,Red Rocks,outdoor
200092,2017-11-06,blue,Brown Round Crack,crimp,face,natural,V3,,,Red Rocks,outdoor
200093,2017-11-06,blue,Peruvian Left,crimp,slab,natural,V3,Randal Grandstafff,1970,Red Rocks,outdoor
200094,2017-12-02,orange,Bate’s Eliminate,crimp,face,dyno,V7,Barry Bates,,Castle Rock,outdoor
200095,2017-12-10,blue,The Swim,sloper,face,mantle,V3,,,Castle Rock,outdoor
200096,2017-12-18,green,Slab behind Columbia Boulder,crimp,slab,natural,V0,,,Yosemite,outdoor
200097,2017-12-18,green,Columbia Boulder Artificial Slab 5.9,crimp,slab,natural,V0,,,Yosemite,outdoor
