date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
2017-05-19,orange,Orange pinches all the way,pinch,overhang,natural,V8,Ben Polanco,,Dogpatch,indoor
2017-05-19,red,"Red cave dyno, slopers at the lip","jug, sloper, crimp",cave,dyno,V8,Sean Nanos,,Dogpatch,indoor
2017-05-22,purple,"Purple Sideways Dyno, then dyno finish",jug,overhang,dyno,V7,Zak Grinstead,,Dogpatch,indoor
2017-05-31,yellow,Yellow jugs on the low roof,jug,cave,natural,V5,Hiro,,Dogpatch,indoor
2017-06-01,yellow,"Yellow arete in Mission Cliffs, big reaches, big holds",jug,arete,natural,V7,LM,,Mission Cliffs,indoor
2017-06-02,red,"Red, traverse around arete, two opposing sidepulls",crimp,face,natural,V7,LM,,Dogpatch,indoor
2017-06-05,black,"Black balancey moves, double clutch finish",sloper,face,comp,V8,Radu Popescu,,Dogpatch,indoor
2017-06-07,orange,"Orange dyno to a jug, then bathang, traverse underneath, crimp and pinch finish",sloper,cave,dyno,V7,Sean Nanos,,Dogpatch,indoor
2017-06-12,blue,"Blue crimpy, balancey start to a sloper, undercling dyno to the top, kid's wall",crimp,slab,natural,V7,Zak Grinstead,,Dogpatch,indoor
2017-06-13,yellow,"Yellow traverse to arete, bicycle a pinch, then dyno finish from a sidepull",crimp,slab,natural,V7,Ben-BD,,Dogpatch,indoor
2017-06-13,yellow,Yellow run and jump,jug,slab,dyno,V7,Clinic,,Dogpatch,indoor
2017-06-21,white,"White traverse right, then traverse left, campus on crimps",crimp,face,natural,V7,Max Krimmer,,Ironworks,indoor
2017-07-17,orange,"Orange run and jump, comp problem 58",jug,face,comp,V7,Woman Up,,Dogpatch,indoor
2017-07-23,black,Black dyno to half crescent jug on the wave,"jug, sloper",face,dyno,V7,Max Krimmer,,Dogpatch,indoor
2017-07-25,white,"White Comp Problem Number 61, dyno from an undercling, ",pinch,overhang,natural,V8,Woman Up,,Dogpatch,indoor
2017-08-01,black,Black dyno to a half crescent sloper on the back wall,"jug, sloper",face,dyno,V7,Max Krimmer,,Dogpatch,indoor
2017-08-09,pink,"Pink Comp Problem Number 52, Dynamic movements between jugs",jug,overhang,comp,V7,Woman Up,,Dogpatch,indoor
2017-08-16,green,"Green Zak, two dynos to the top",sloper,overhang,dyno,V7,Zak Grinstead,,Dogpatch,indoor
2017-08-18,green,"Green Comp Problem Number 56, So-Ill bubbles",sloper,face,comp,V7,Woman Up,,Dogpatch,indoor
2017-08-20,pink,"Pink deadpoint to a right hand sloper, reachy left hand before top out",sloper,face,natural,V7,Max Krimmer,,Dogpatch,indoor
2017-08-20,orange,"Orange Comp Problem Number 54, Jug start, left hand crimp to a hand jam, then crimps up. First V7 flash",crimp,face,comp,V7,Woman Up,,Dogpatch,indoor
2017-08-20,white,"White undercling start, dynamic move to a pinch, match on sloper, dynamic move to crimp, crimpy finish","crimp, pinch",overhang,natural,V9,Morgan McGehee,,Dogpatch,indoor
2017-08-22,yellow,Yellow Comp Final #1,sloper,slab,comp,V7,Woman Up,,Dogpatch,indoor
2017-08-27,pink,"Pink crimps, knee bar through intro, then crimpy finish","crimp, pinch, sloper",overhang,natural,V8,Sean Nanos,,Dogpatch,indoor
2017-08-27,yellow,"Yellow Comp Problem, Dyno Start, Mantel on a crimp to a sidepull jug","jug, crimp",face,dyno,V7,Radu Popescu,,Dogpatch,indoor
2017-09-10,green,Green dyno onto two pipes,jug,overhang,dyno,V6,DC,,Cliffs of Id,indoor
2017-09-12,orange,Orange overhanging dyno to a bad pinch,pinch,overhang,dyno,V8,Max Krimmer,,Dogpatch,indoor
2017-09-13,green,Green overhanging traverse twice,jug,overhang,natural,V8,Ben Polanco,,Dogpatch,indoor
2017-09-18,purple,Purple overhang crimp to pinch,"crimp, pinch",overhang,natural,V8,Mark Heal,,Dogpatch,indoor
2017-09-18,orange,"Orange Comp Problem, do a sideways fall into a volume, then dyno from a crimp to a distant mushroom around the arete",jug,face,comp,V7,,,Dogpatch,indoor
2017-09-21,purple,"Purple slopers with crimps behind them, face climbing","sloper, crimp",face,natural,V7,Colin Baxter Green,,Dogpatch,indoor
