date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
2019-12-16,green,"Green jugs underneath roof, come out onto crimps, dyno for a jug, crimp traverse left to finish",crimp,overhang,natural,V8,Kurt Jalapeno,,Diablo Rock,indoor
2019-12-22,purple,"Purple crimps and pinches on a face, difficult traverse in the middle","crimp, pinch",face,natural,V7,Nolan,,Mesa Rim Mission Valley,indoor
2019-12-22,white,"White crimps, perch on bad foot to reach a far-left sidepull gaston",crimp,face,natural,V8,Leo,,Mesa Rim Mission Valley,indoor
2019-12-23,purple,"Purple big moves on  crimps, sketchy top way off the deck, pumpy and long","crimp, pinch",cave,natural,V7,,,Grotto Climbing,indoor
2020-01-07,green,"Green pinches, dynamic moves across an overhang",pinch,overhang,natural,V9,KSO,,Berkeley Ironworks,indoor
2020-01-14,yellow,"Yellow comp style pinches, huge windmill dyno to a sloper",pinch,arete,comp,V8,,,Dogpatch,indoor
2020-01-23,purple,"Purple compression roof, large power moves with cut feet","crimp, jug",cave,natural,V8,YIM,,Dogpatch,indoor
2020-01-25,white,"White left pogo to catch a crimp, grab a sloper, then traverse right to hold a barndoor using a gaston, desperate",crimp,face,natural,V8,,,Berkeley Ironworks,indoor
2020-01-28,blue,"Blue start underneath in the cave, big move out, compress on crimps",crimp,overhang,natural,V9,Morgan McGehee,,Mission Cliffs,indoor
2020-02-13,green,Green crimps along arete. Traverse left through a sloper to some crimps.,crimp,arete,natural,V8,Kris Vidal,,Mission Cliffs,indoor
2020-02-16,blue,"Blue start underneath a roof with a knee bar, reach out to sloper, big move to a sloper, crimp finish",sloper,overhang,natural,V9,,,Planet Granite Santa Clara,indoor
2020-02-18,blue,"Blue compression problem in overhang section of on back topout, big move to the lip, campus, then easy mantle finish",crimp,overhang,natural,V9,WWF,,Dogpatch,indoor
2020-02-27,black,"Black compression arete on slopers, balancey finish hold.",sloper,arete,natural,V8,JK,,Ironworks,indoor
