index,date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
100023,2016-12-02,brown,"Brown sit start, sloper finish, natural",sloper,face,natural,V6-V7,Nick,,Mesa Rim Mission Valley,indoor
100024,2016-12-05,pink,"Pink crimps, traverse deadpoint traverse dyno","crimp, pinch",face,natural,V7-V8,Casey,,Mesa Rim Mira Mesa,indoor
100025,2016-12-22,yellow,"Yellow Flakes, two traverses",crimp,face,natural,V6,Ben Polanco,,Dogpatch,indoor
100026,2017-01-18,purple,"Purple Sloper Dyno Start, Mantel finish","jug, sloper",variable,dyno,V6,Radu Popescu,,Dogpatch,indoor
100027,2017-01-26,pink,"Pink corner back wall, swinging move",sloper,face,natural,V6,,,Dogpatch,indoor
100028,2017-01-30,orange,Orange overhanging,pinch,overhang,natural,V6,Sean Nanos,,Dogpatch,indoor
100029,2017-01-30,blue,"Blue crimps overhanging, toehook roof",crimp,overhang,natural,V6,,,Dogpatch,indoor
100030,2017-02-01,pink,Pink piano move,sloper,variable,natural,V6,Ben-BD,,Dogpatch,indoor
100031,2017-02-03,orange,"Orange crimps, balancey traverse left",crimp,face,natural,V5,Sean Nanos,,Dogpatch,indoor
100032,2017-02-04,blue,"Blue juggy roof, followed by crimps, first flash",jug,overhang,natural,V6,Hiro,,Dogpatch,indoor
100033,2017-02-05,yellow,Yellow Slab,crimp,slab,natural,V6,Ben-BD,,Dogpatch,indoor
100034,2017-02-08,red,"Red throw up to sidepull, then gaston to right",crimp,slab,natural,V7,Sean Nanos,,Dogpatch,indoor
