date_,color,description,hold_type,wall_type,style,grade,setter,location
2017-04-29,blue,Santa Cruz Dudes,crimp,face,dyno,V4,,Castle Rock
2017-05-08,green,Mr. Magoo Dyno,sloper,face,dyno,V1,,Castle Rock
2017-05-14,green,The Off-Width,jug,crack,natural,V0,,Columbia College
2017-05-14,blue,The Gold Wall,sloper,overhang,natural,V3,,Columbia College
2017-05-14,blue,Falkenstein Crack,"jug, crimp",overhang,natural,V3,,Columbia College
2017-05-21,green,The Best Damn,crimp,slab,natural,V1,,Mount Tamalpais
2017-05-21,green,Contact High,crimp,slab,natural,V1,,Mount Tamalpais
2017-05-21,blue,The Old Man Card,sloper,face,mantle,V2,,Mount Tamalpais
2017-05-31,blue,Auto-Gedden (Jesus Chrysler Traverse),"jug, crimp",overhang,natural,V2,,Bishop Happy Boulders
2017-05-31,green,Monkey Hang,jug,cave,natural,V3,,Bishop Happy Boulders
2017-05-31,blue,Impulse Control,"crimp, sloper",overhang,natural,V4,,Bishop Happy Boulders
2017-06-04,green,Diagonal Ramp on the Orange Buddha Boulder,crimp,face,natural,V1,,Mickey’s Beach
2017-06-04,green,Baseball on the Orange Buddha Boulder (used to be V4),crimp,face,natural,V2,,Mickey’s Beach
2017-06-04,green,"Don’t worry, be slappy (used to be V6)",crimp,face,natural,V1,,Mickey’s Beach
2017-06-04,blue,Unnamed slab,crimp,slab,natural,V2,,Stinson Beach
2017-06-04,green,Warm Up Arete,crimp,arete,natural,V1,,Stinson Beach
2017-06-04,green,Unnamed south face,crimp,overhang,natural,V1,,Stinson Beach
2017-06-11,green,Mr. Magoo Run and Jump,jug,face,comp,V1,,Castle Rock
2017-06-11,blue,Domino Theory (dyno beta),"jug, crimp",face,dyno,V2,,Castle Rock
2017-07-07,blue,Gypsy’s Day Out,crimp,overhang,natural,V3,,Black Mountain
2017-07-07,green,Little Saigon Left Arete,crimp,overhang,natural,V1,,Black Mountain
2017-07-07,green,Unnamed 5.9 slab,crimp,slab,natural,V0,,Black Mountain
2017-07-07,blue,Front Wheel Drive,crimp,slab,natural,V2,,Black Mountain
2017-07-07,green,Pig Face,"jug, pinch",face,natural,V0,,Joshua Tree
2017-07-08,green,Pothole Mantle #2,sloper,face,mantle,V0,,Joshua Tree
2017-07-08,green,Pothole Problem #2,sloper,face,mantle,V0,,Joshua Tree
2017-07-08,green,Pothole Mantle #1,sloper,face,mantle,V0,,Joshua Tree
2017-07-09,green,Main Boulder East Face,"jug, crimp",overhang,natural,V2,,Grizzly Peak
2017-07-16,green,Lieback,jug,overhang,natural,V2,,Salt Point State Park
2017-07-16,green,Unnamed V2 to the right of The Slap,sloper,overhang,natural,V2,,Salt Point State Park
2017-07-16,blue,The Slap,crimp,overhang,natural,V5,,Salt Point State Park
2017-07-16,blue,Tufatafoni Traverse,jug,cave,natural,V4,,Salt Point State Park
2017-07-23,blue,Quarry Traverse,jug,overhang,natural,V3,,Salt Point State Park
2017-07-23,green,Mantle 101,jug,overhang,mantle,V2,,Salt Point State Park
2017-07-23,green,I’m a Mountain Goat,crimp,slab,natural,V0,FA,Salt Point State Park
2017-08-14,blue,Triceratops,"jug, crimp",cave,natural,V4,,Salt Point State Park
2017-08-14,orange,Music Box By the Sea,crimp,cave,natural,V6,FA,Salt Point State Park
2017-09-03,blue,Sloper Safari,"jug, sloper",overhang,natural,V4,,Joshua Tree
2017-09-05,blue,Bulgemaster,sloper,overhang,natural,V2,,Joshua Tree
2017-09-05,blue,Little Chucky,"crimp, pinch",face,natural,V4,,Joshua Tree
2017-09-05,green,"Dino’s Egg, Sit Down Flake",jug,overhang,natural,V2,,Joshua Tree
2017-09-29,green,Watercourse,jug,face,natural,V1,,Joshua Tree
2017-10-01,orange,Tractor Pull,crimp,face,natural,V6,,Grizzly Peak
2017-10-14,blue,Tombstone,"jug, crimp",overhang,natural,V4,,"Lincoln Woods State Park, RI"
2017-10-14,blue,Try Again,jug,face,dyno,V5,,"Lincoln Woods State Park, RI"
2017-10-16,blue,Bloody Sunset,crimp,face,natural,V3,,"Lynn Woods, MA"
2017-10-21,green,Sub Atomic Nuclear Penguin,crimp,face,natural,V4,,"Central Park, NY"
2017-11-05,orange,"Monkey Bars, Right","jug, crimp",overhang,natural,V6,,Red Rocks
2017-11-05,orange,Oompa Loompa,"crimp, sloper",variable,natural,V5,,Red Rocks
2017-11-06,blue,Brown Round Crack,crimp,face,natural,V3,,Red Rocks
2017-11-06,blue,Peruvian Left,crimp,slab,natural,V3,,Red Rocks
2017-12-02,orange,Bate’s Eliminate,crimp,face,dyno,V7,,Castle Rock
2017-12-10,blue,The Swim,sloper,face,mantle,V3,,Castle Rock
2017-12-18,green,Slab behind Columbia Boulder,crimp,slab,natural,V0,,Yosemite
2017-12-18,green,Columbia Boulder Artificial Slab 5.9,crimp,slab,natural,V0,,Yosemite
2017-12-18,blue,Unnamed Warm-up on the Tile Boulder,crimp,face,natural,V2,,Yosemite
2017-12-18,blue,Zorro,"jug, crimp",face,dyno,V4,,Yosemite
2017-12-19,blue,Tendon’s Give,"jug, crimp",overhang,dyno,V4,,Yosemite
2017-12-23,blue,A Birthing Experience,crimp,overhang,comp,V1,,Bishop Buttermilks
2017-12-23,orange,Devoted Traverse,"jug, crimp",overhang,natural,V5,,Bishop Buttermilks
2017-12-26,green,Sheepherder,sloper,face,natural,V2,,Bishop Buttermilks
2017-12-26,blue,Birthday Direct,crimp,face,natural,V3,,Bishop Buttermilks
2017-12-27,blue,Heavenly Path,crimp,slab,natural,V1,,Bishop Happy Boulders
2017-12-27,blue,Kling and Smirk,"crimp, sloper",overhang,natural,V2,,Bishop Happy Boulders
2017-12-27,blue,Ketron Classic,crimp,overhang,natural,V4,,Bishop Happy Boulders
2017-12-27,blue,Serengeti,crimp,overhang,natural,V5,,Bishop Happy Boulders
2017-12-27,orange,"Acid Wash Right, Stand Start",crimp,overhang,natural,V7,,Bishop Happy Boulders
2017-12-28,green,Brown Slab,crimp,slab,natural,V0,,Bishop Sad Boulders
2017-12-28,green,World Shut Your Mouth,crimp,face,natural,V2,,Bishop Sad Boulders
2017-12-28,blue,Molly Dyno,crimp,face,dyno,V5,,Bishop Sad Boulders
2017-12-28,green,Hands-Free Slab,crimp,slab,natural,V0,,Bishop Sad Boulders
2017-12-28,green,Hands-on Slab,crimp,slab,natural,V0,,Bishop Sad Boulders
2017-12-29,green,The Prow,jug,face,natural,V2,,Bishop Buttermilks
2017-12-29,orange,Fly Boy Arete,crimp,arete,natural,V5,,Bishop Buttermilks
2017-12-30,orange,Solarium,crimp,face,natural,V4,,Bishop Happy Boulders
2017-12-30,orange,The Hulk,crimp,overhang,natural,V6,,Bishop Happy Boulders
2017-12-30,orange,Sucker Punch,crimp,face,natural,V5,,Bishop Happy Boulders
2017-12-31,green,Gotta Be Kidding Me Slab,jug,slab,natural,V0,,Bishop Sad Boulders
2017-12-31,blue,Hauck a Loogie,crimp,overhang,natural,V3,,Bishop Sad Boulders
2017-12-31,green,Flush VB,jug,slab,natural,V0,,Bishop Sad Boulders
2017-12-31,orange,The Gleaner,crimp,overhang,natural,V6,,Bishop Happy Boulders
2018-01-01,green,Unnamed Sunshine Slab,crimp,slab,natural,V0,,Bishop Buttermilks
2018-01-01,green,Good Morning Sunshine,crimp,slab,natural,V1,,Bishop Buttermilks
2018-01-01,blue,Green Wall Essential,crimp,face,natural,V2,,Bishop Buttermilks
2018-01-01,blue,Iron Man Traverse,jug,overhang,natural,V4,,Bishop Buttermilks
2018-01-01,blue,Robinson’s Rubber Tester,sloper,slab,natural,V0,,Bishop Buttermilks
2018-01-02,blue,Maximum Relaximum,jug,cave,natural,V3,,Bishop Sad Boulders
2018-01-03,blue,"Buttermilks Stem, Stand Start",sloper,corner,natural,V1,,Bishop Buttermilks
2018-01-03,blue,"Buttermilks Stem, Sit Start","jug, sloper",overhang,natural,V4,,Bishop Buttermilks
2018-03-12,green,Run and Jump in the Nature Nazi Area,jug,face,comp,V0,,Castle Rock
2018-03-12,green,"Naked Nazi, Stand Start",crimp,arete,natural,V2,,Castle Rock
2018-04-01,green,Totty Corridor Traverse,crimp,face,natural,V1,,Bishop Happy Boulders
2018-04-01,green,Strange Quotations,jug,face,natural,V0,,Bishop Happy Boulders
2018-04-01,blue,"Exit the Rat, Sit Start",crimp,face,natural,V2,,Bishop Happy Boulders
2018-04-01,green,Yo Basecamp,crimp,slab,natural,V0,,Bishop Buttermilks
2018-04-01,blue,"Birthday Left, Sit Start",crimp,face,natural,V1,,Bishop Buttermilks
2018-04-01,green,Hero Roof,jug,overhang,natural,V0,,Bishop Buttermilks
2018-04-02,green,"Big Brown Slab, East Center Face",crimp,face,natural,V0,,Bishop Sad Boulders
2018-04-16,green,Slap Happy,jug,overhang,natural,V3,,Bishop Happy Boulders
2018-04-23,green,Overhanging Lieback,jug,overhang,natural,V2,,Castle Rock
2018-04-23,green,"The Direct, Nature Nazi Boulders",crimp,overhang,natural,V2,,Castle Rock
2018-04-23,blue,Domino Arete,crimp,face,natural,V3,,Castle Rock
2018-04-29,orange,Scary Overhang,crimp,overhang,natural,V5,,Grizzly Peak
2018-05-21,blue,The Ramp,crimp,overhang,natural,V4,,Berkeley Mortar Rock
2018-05-28,orange,Boulder Basin Dyno,crimp,face,dyno,V5,,Black Mountain
2018-05-28,blue,The Walrus,jug,overhang,natural,V4,,Black Mountain
2018-05-29,green,Dragon Scales,jug,slab,natural,V0,,Joshua Tree
2018-06-23,blue,"Rainbow Boulder B, Resolution",jug,overhang,natural,V4,,North Lake Tahoe
2018-06-23,green,"Rainbow Boulder B, Unnamed Traverse",crimp,face,natural,V2,,North Lake Tahoe
2018-06-23,blue,"Rainbow Boulder C, Wein’s Law","jug, crimp",face,natural,V4,,North Lake Tahoe
2018-06-23,orange,"Rainbow Boulder A, Continuum",crimp,arete,dyno,V7,,North Lake Tahoe
2018-07-02,blue,Goat Rock,jug,slab,natural,V0,,Goat Rock Beach
2018-07-02,blue,Lamb Boulder Traverse,"jug, crimp",overhang,natural,V4,,Goat Rock Beach
2018-07-04,orange,Meilee Traverse,"jug, crimp",cave,natural,V4,,"Lizard’s Mouth, Santa Barbara"
2018-07-04,green,"Unnamed south face, sit-start",crimp,overhang,natural,V2,,Stinson Beach
2018-07-31,green,Stinson Beach Warm Up,jug,slab,natural,V0,,Stinson Beach
2018-07-31,green,Old Woman Crimp Traverse,crimp,face,natural,V2,,Stinson Beach
2018-07-31,green,Are You Experienced Standard Route,"crimp, pinch",overhang,natural,V3,,Stinson Beach
2018-08-03,green,Big Bottoms,sloper,face,natural,V2,,Squamish
2018-08-03,green,Titanic,crimp,face,natural,V3,,Squamish
2018-08-03,blue,The Mantis,"sloper, crimp",overhang,natural,V4,,Squamish
2018-08-03,blue,Easy in an Easy Chair,jug,overhang,natural,V4,,Squamish
2018-08-03,blue,Stupid Face,crimp,face,natural,V3,,Squamish
2018-08-04,green,Summer Vacation,jug,face,natural,V0,,Squamish
2018-08-04,blue,Sloppy Poppy,crimp,variable,natural,V4,,Squamish
2018-08-04,green,Squamish Days,pinch,overhang,natural,V2,,Squamish
2018-08-04,orange,The Viper,pinch,arete,natural,V5,,Squamish
2018-08-04,blue,American Gigolo,crimp,arete,natural,V3,,Squamish
2018-08-05,green,"The Silencer, Right Arete",jug,arete,natural,V2,,Squamish
2018-08-05,blue,Shots Fired,"jug, crimp",overhang,natural,V4,,Squamish
2018-08-05,green,Bang,crimp,face,dyno,V2,,Squamish
2018-08-05,blue,Center Slab,crimp,slab,natural,V3,,Squamish
2018-08-06,green,Detached Flake,"jug, pinch",face,natural,V1,,Squamish
2018-08-06,green,Nadia’s Slab,crimp,slab,natural,V1,,Squamish
2018-08-06,blue,"A Stroke of Luck, Right Exit",crimp,overhang,natural,V4,,Squamish
2018-08-06,blue,Ape Span,crimp,face,dyno,V4,,Squamish
2018-08-06,orange,Space Monkey,"crimp, pinch",overhang,natural,V5,,Squamish
2018-08-06,blue,Rhino Face,jug,overhang,mantle,V3,,Squamish
2018-08-24,green,The Cheech and the Choss,crimp,face,natural,V2,,Mount Tamalpais
2018-08-24,blue,"Intuition, Stand Start",crimp,face,dyno,V4,,Mount Tamalpais
2018-08-24,green,Right Arete,"jug, crimp",face,natural,V2,,Mount Tamalpais
2018-08-24,blue,Girl Power,crimp,face,natural,V6,,Mount Tamalpais
2018-09-02,orange,The Pearl,crimp,face,natural,V5,,Red Rocks
2018-09-02,green,Jenna’s Jewelry,jug,face,dyno,V4,,Red Rocks
2018-09-03,blue,"Thread Problem, Right Exit",crimp,face,natural,V1,,Mount Charleston
2018-09-11,green,Face climb,crimp,face,natural,V1,FA,"Bishop, Sky Rock Area"
2018-09-23,green,Emma’s Problem,crimp,overhang,natural,V2,,Bishop Sad Boulders
2018-09-23,blue,The Fang,crimp,cave,natural,V4,,Bishop Sad Boulders
2018-09-24,green,City of Daggers,crimp,face,natural,V1,,"Bishop, Sky Rock Area"
2018-10-22,orange,"Dead End, Right Exit",crimp,face,natural,V6,,"Mitake Boulders, Japan"
2018-12-01,green,Brittle Skidaddle,crimp,face,natural,V0,,"Bishop, Sky Rock Area"
2018-12-08,orange,French Press,"crimp, sloper",slab,natural,V6,,Bishop Sad Boulders
2018-12-10,blue,Black Magic,crimp,slab,natural,V3,,Bishop Happy Boulders
2019-01-10,orange,Seven Spanish Angels,pinch,face,dyno,V6,,Bishop Buttermilks
2019-01-27,red,Static Reach,"crimp, pinch",overhang,natural,V8,,Castle Rock
2019-02-17,blue,Warm Up Arete,crimp,arete,natural,V3,,Henderson Boulders
2019-02-18,green,Unnamed Left Face on the Downstream Boulders,crimp,face,natural,V2,,Henderson Boulders
2019-02-18,orange,Warm Enough,jug,cave,natural,V5,,Henderson Boulders
2019-02-18,green,Fleur de Lis,jug,slab,natural,V0,,Keyhole Canyon
2019-02-18,green,Left Chunky Face,crimp,face,natural,V1,,Keyhole Canyon
2019-02-18,green,Plastic Man,"jug, crimp",face,natural,V2,,Keyhole Canyon
2019-02-19,blue,Joseph,crimp,face,natural,V3,,Bishop Happy Boulders
2019-02-20,orange,Angel Dyno,"jug, crimp",face,dyno,V7,,Red Rocks
2019-03-10,orange,Slap Happy Traverse,pinch,overhang,natural,V5,rebecca,Bishop Happy Boulders
2019-03-10,green,Solarium Dyno,jug,face,dyno,V2,,Bishop Happy Boulders
2019-03-10,green,Carrot Top,crimp,face,natural,V3,,Bishop Happy Boulders
2019-03-16,orange,Groundwater,crimp,overhang,natural,V5,,Bishop Happy Boulders
2019-03-28,blue,Jones’n,crimp,face,natural,V4,,Red Rocks
2019-03-29,green,Perfect Poser (The Cube),crimp,face,natural,V1,,Red Rocks
2019-03-29,green,Sorange,crimp,face,natural,V3,,Red Rocks
2019-03-30,blue,Jenna’s Jewelry,crimp,face,natural,V4,,Red Rocks
2019-04-08,blue,Center Overhang,crimp,overhang,natural,V3,,Berkeley Indian Rock
2019-04-08,green,Flake Traverse,crimp,face,natural,V3,,Berkeley Indian Rock
2019-05-12,orange,Johnny Cash,sloper,variable,dyno,V3,,Salt Point State Park
2019-06-23,green,Three Bangs,crimp,arete,natural,V3,,South Lake Tahoe
2019-06-23,green,Wood Nymph Early Exit,crimp,slab,natural,V3,,South Lake Tahoe
2019-07-01,green,Got Surprised,crimp,face,natural,V3,,Mount Lassen
2019-07-01,blue,Widebeast,crimp,overhang,natural,V4,,Mount Lassen
2019-07-05,orange,Gypsy’s Link Up,crimp,overhang,natural,V5,,Black Mountain
2019-07-05,green,Central Basin Arete,crimp,arete,natural,V3,,Black Mountain
2019-07-05,blue,Central Basin Traverse,crimp,face,natural,V4,,Black Mountain
2019-07-05,blue,Pink Crack,"crimp, pinch",face,natural,V3,,Black Mountain
2019-07-06,green,Line Dance,jug,overhang,natural,V1,,Palm Springs Aerial Tramway
2019-07-06,blue,Humping the Walrus,sloper,variable,natural,V4,,Palm Springs Aerial Tramway
2019-07-06,green,Breakdance,jug,face,dyno,V3,,Palm Springs Aerial Tramway
2019-07-06,orange,Swing Dance,crimp,overhang,dyno,V7,,Palm Springs Aerial Tramway
2019-07-07,blue,Mantle Problem on The Cube,"crimp, sloper",face,mantle,V3,,Palm Springs Aerial Tramway
2019-07-07,orange,The Cube,sloper,arete,natural,V5,,Palm Springs Aerial Tramway
2019-07-12,orange,Smiley Face,crimp,face,natural,V6,,Stinson Beach
2019-08-15,orange,The Fuzz,"crimp, sloper, pinch",face,natural,V7,,Squamish
2019-08-15,blue,Titanic Dyno,jug,face,dyno,V4,,Squamish
2019-08-16,orange,Anubis,crimp,overhang,natural,V7,,Squamish
2019-08-17,green,Cheese Grater,jug,slab,natural,V1,,Squamish
2019-08-17,blue,Slingshot,crimp,face,natural,V2,,Squamish
2019-08-17,orange,Wafer Thin,crimp,face,natural,V5,,Squamish
2019-08-17,green,Golden Bowl Stand,crimp,face,dyno,V4,,Squamish
2019-10-06,blue,"The Arete, Right Exit",crimp,overhang,natural,V4,,Tuolumne Meadows
2019-10-06,blue,Solar Flare,crimp,variable,natural,V4,,Tuolumne Meadows
2019-10-07,green,Erik’s Picnic,crimp,face,natural,V2,,Tuolumne Meadows
2019-10-07,green,Wood Deliverer,crimp,face,natural,V3,,Tuolumne Meadows
2019-10-07,orange,G23 Arete,crimp,arete,natural,V6,,Tuolumne Meadows
2019-10-08,blue,The Roof,"crimp, pinch",overhang,natural,V4,,Tuolumne Meadows
2019-10-21,orange,Munchkin Lunge,crimp,overhang,dyno,V6,,Yosemite
2019-10-21,blue,No Fur,"crimp, sloper",face,natural,V3,,Yosemite
2019-10-21,orange,Silent Spotter,crimp,overhang,natural,V6,,Yosemite
2019-10-21,blue,Unnamed Lip Traverse,sloper,overhang,dyno,V4,,Yosemite
2019-10-26,orange,Blue Suede Shoes,crimp,slab,natural,V5,,Yosemite
2019-11-03,blue,"Loaded, Eliminate",crimp,slab,natural,V1,,Bishop Happy Boulders
2019-11-03,orange,Molly,crimp,face,natural,V5,,Bishop Happy Boulders
2019-11-11,blue,Let’s Get Hurt,"jug, sloper",face,mantle,V3,,Castle Rock
2019-11-11,blue,"Coz Daddy, Early Exit","crimp, pinch",overhang,natural,V4,,Castle Rock
2019-11-11,green,The Edge,crimp,face,dyno,V2,,Castle Rock
2019-11-11,green,Mr. Clean,sloper,overhang,dyno,V4,,Castle Rock
2019-11-11,blue,The Slope,"jug, sloper",face,mantle,V4,,Castle Rock
